area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"52,14 m²",promo_top_ads,46vIa,,,Oferta prywatna,405000,7768,3 pokoje,Mieszkanie na sprzedaż:,"Strzeszyn Grecki, Poznań ul. Witolda Pileckiego",60661058,https://www.otodom.pl/oferta/strzeszyn-grecki-poznan-ul-witolda-pileckiego-ID46vIa.html#9032803f8e
"32,40 m²",promo_top_ads,46vc6,,,Oferta prywatna,320000,9877,1 pokój,Mieszkanie na sprzedaż:,"Kawalerka, Centrum, Apartamentowiec, bezpośrednio",60659070,https://www.otodom.pl/oferta/kawalerka-centrum-apartamentowiec-bezposrednio-ID46vc6.html#9032803f8e
94 m²,promo_top_ads,45Zsw,,,ADMARO Sp. z o. o.,555000,5904,3 pokoje,Mieszkanie na sprzedaż:,OKAZJA ! / WYSOKI STANDARD / 3 lub 4 pokoje,60533235,https://www.otodom.pl/oferta/okazja-wysoki-standard-3-lub-4-pokoje-ID45Zsw.html#9032803f8e
"45,53 m²",listing_no_promo,3YjgA,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,35285750,7750,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A98,58702752,https://www.otodom.pl/oferta/mieszkanie-a98-ID3YjgA.html#9032803f8e
"33,62 m²",listing_no_promo,3Yjbq,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,1 pokój,Mieszkanie na sprzedaż:,REZERWACJA Mieszkanie A95,58702432,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-a95-ID3Yjbq.html#9032803f8e
"33,62 m²",listing_no_promo,3Yj9q,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,272322,8100,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie A94,58702308,https://www.otodom.pl/oferta/mieszkanie-a94-ID3Yj9q.html#9032803f8e
"67,21 m²",listing_no_promo,3Yj92,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,48727250,7250,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A93,58702284,https://www.otodom.pl/oferta/mieszkanie-a93-ID3Yj92.html#9032803f8e
"62,17 m²",listing_no_promo,3Yj5y,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,46938350,7550,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A91,58702068,https://www.otodom.pl/oferta/mieszkanie-a91-ID3Yj5y.html#9032803f8e
"37,79 m²",listing_no_promo,3Yj0v,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,336331,8900,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A87,58701756,https://www.otodom.pl/oferta/mieszkanie-a87-ID3Yj0v.html#9032803f8e
"65,83 m²",listing_no_promo,3Yj00,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,546389,8300,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A86,58701724,https://www.otodom.pl/oferta/mieszkanie-a86-ID3Yj00.html#9032803f8e
"29,14 m²",listing_no_promo,3YiVE,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,289943,9950,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie A83,58701516,https://www.otodom.pl/oferta/mieszkanie-a83-ID3YiVE.html#9032803f8e
"65,63 m²",listing_no_promo,3YiU8,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,538166,8200,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A82,58701360,https://www.otodom.pl/oferta/mieszkanie-a82-ID3YiU8.html#9032803f8e
"65,83 m²",listing_no_promo,3YiPe,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,520057,7900,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A80,58701056,https://www.otodom.pl/oferta/mieszkanie-a80-ID3YiPe.html#9032803f8e
"33,63 m²",listing_no_promo,3YiIU,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,289218,8600,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie A76,58700664,https://www.otodom.pl/oferta/mieszkanie-a76-ID3YiIU.html#9032803f8e
"68,30 m²",listing_no_promo,3YivA,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,515665,7550,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A70,58699900,https://www.otodom.pl/oferta/mieszkanie-a70-ID3YivA.html#9032803f8e
"68,95 m²",listing_no_promo,3YiuI,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,52057250,7550,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A68,58699784,https://www.otodom.pl/oferta/mieszkanie-a68-ID3YiuI.html#9032803f8e
"37,79 m²",listing_no_promo,3Yite,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,317436,8400,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A67,58699692,https://www.otodom.pl/oferta/mieszkanie-a67-ID3Yite.html#9032803f8e
"69,78 m²",listing_no_promo,3Yio8,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,519861,7450,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A61,58699376,https://www.otodom.pl/oferta/mieszkanie-a61-ID3Yio8.html#9032803f8e
"68,14 m²",listing_no_promo,3Yi84,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,504236,7400,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A56,58698380,https://www.otodom.pl/oferta/mieszkanie-a56-ID3Yi84.html#9032803f8e
"69,78 m²",listing_no_promo,3Yi5K,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,516372,7400,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A54,58698236,https://www.otodom.pl/oferta/mieszkanie-a54-ID3Yi5K.html#9032803f8e
"37,78 m²",listing_no_promo,3Yi56,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,309796,8200,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A53,58698196,https://www.otodom.pl/oferta/mieszkanie-a53-ID3Yi56.html#9032803f8e
"68,30 m²",listing_no_promo,3YhZq,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,502005,7350,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A49,58697844,https://www.otodom.pl/oferta/mieszkanie-a49-ID3YhZq.html#9032803f8e
"68,87 m²",listing_no_promo,3Ya32,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,50619450,7350,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A47,58667316,https://www.otodom.pl/oferta/mieszkanie-a47-ID3Ya32.html#9032803f8e
"37,58 m²",listing_no_promo,3Ya0c,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,REZERWACJA Mieszkanie A46,58667140,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-a46-ID3Ya0c.html#9032803f8e
"42,27 m²",listing_no_promo,3Y9Re,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,32336550,7650,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A44,58666584,https://www.otodom.pl/oferta/mieszkanie-a44-ID3Y9Re.html#9032803f8e
"38,68 m²",listing_no_promo,3Y9Gs,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,355856,9200,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A39,58665916,https://www.otodom.pl/oferta/mieszkanie-a39-ID3Y9Gs.html#9032803f8e
"38,73 m²",listing_no_promo,3Y9zK,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,REZERWACJA Mieszkanie A38,58665500,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-a38-ID3Y9zK.html#9032803f8e
67 m²,listing_no_promo,3Y9ig,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,512550,7650,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A35,58664416,https://www.otodom.pl/oferta/mieszkanie-a35-ID3Y9ig.html#9032803f8e
"61,07 m²",listing_no_promo,3Y9da,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,470239,7700,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A34,58664100,https://www.otodom.pl/oferta/mieszkanie-a34-ID3Y9da.html#9032803f8e
"49,89 m²",listing_no_promo,3Y95a,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,399120,8000,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A30,58663604,https://www.otodom.pl/oferta/mieszkanie-a30-ID3Y95a.html#9032803f8e
67 m²,listing_no_promo,3Y93S,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,509200,7600,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A29,58663524,https://www.otodom.pl/oferta/mieszkanie-a29-ID3Y93S.html#9032803f8e
"43,76 m²",listing_no_promo,3Y92A,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,REZERWACJA Mieszkanie A27,58663444,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-a27-ID3Y92A.html#9032803f8e
"43,73 m²",listing_no_promo,3Y90k,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,REZERWACJA Mieszkanie A26,58663304,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-a26-ID3Y90k.html#9032803f8e
"64,93 m²",listing_no_promo,3Y8UM,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,3 pokoje,Mieszkanie na sprzedaż:,REZERWACJA Mieszkanie A22,58662960,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-a22-ID3Y8UM.html#9032803f8e
"44,42 m²",listing_no_promo,3Y8Pe,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,355360,8000,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A21,58662616,https://www.otodom.pl/oferta/mieszkanie-a21-ID3Y8Pe.html#9032803f8e
"44,36 m²",listing_no_promo,3Y8Nu,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,354880,8000,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A20,58662508,https://www.otodom.pl/oferta/mieszkanie-a20-ID3Y8Nu.html#9032803f8e
"44,42 m²",listing_no_promo,3Y8CQ,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,Rezerwacja Mieszkanie A15,58661848,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-a15-ID3Y8CQ.html#9032803f8e
"44,37 m²",listing_no_promo,3Y8BV,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,REZERWACJA Mieszkanie A14,58661792,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-a14-ID3Y8BV.html#9032803f8e
"65,86 m²",listing_no_promo,3Y8zV,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,503829,7650,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A13,58661668,https://www.otodom.pl/oferta/mieszkanie-a13-ID3Y8zV.html#9032803f8e
67 m²,listing_no_promo,3Y8vI,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,505850,7550,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A11,58661468,https://www.otodom.pl/oferta/mieszkanie-a11-ID3Y8vI.html#9032803f8e
"43,73 m²",listing_no_promo,3Y8ko,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,341094,7800,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie A08,58660704,https://www.otodom.pl/oferta/mieszkanie-a08-ID3Y8ko.html#9032803f8e
