area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
"51,79 m²",promo_top_ads,4ahIy,,,Obsługa zdalna Oferta prywatna,342900,6621,2 pokoje,Mieszkanie na sprzedaż:,2 pokojowe z loggią i osobną kuchnią,61556734,https://www.otodom.pl/pl/oferta/2-pokojowe-z-loggia-i-osobna-kuchnia-ID4ahIy.html#068930ee7f,52.39348766966311,16.89832756881714
62 m²,promo_top_ads,4adKx,,,Oferta prywatna,620000,10000,3 pokoje,Mieszkanie na sprzedaż:,4 lub 3pok. Apartament w Centrum przy Park Wilsona,61541481,https://www.otodom.pl/pl/oferta/4-lub-3pok-apartament-w-centrum-przy-park-wilsona-ID4adKx.html#068930ee7f,52.39409,16.8938
"60,99 m²",promo_top_ads,499sA,,,Obsługa zdalna Oferta prywatna,534900,8770,3 pokoje,Mieszkanie na sprzedaż:,"Super lokalizacja, 3 pokoje z dostępem do ogrodu",61286664,https://www.otodom.pl/pl/oferta/super-lokalizacja-3-pokoje-z-dostepem-do-ogrodu-ID499sA.html#068930ee7f,52.39177,16.8940718
"51,79 m²",listing_no_promo,4ahIy,,,Obsługa zdalna Oferta prywatna,342900,6621,2 pokoje,Mieszkanie na sprzedaż:,2 pokojowe z loggią i osobną kuchnią,61556734,https://www.otodom.pl/pl/oferta/2-pokojowe-z-loggia-i-osobna-kuchnia-ID4ahIy.html#068930ee7f,52.39348766966311,16.89832756881714
62 m²,listing_no_promo,4adKx,,,Oferta prywatna,620000,10000,3 pokoje,Mieszkanie na sprzedaż:,4 lub 3pok. Apartament w Centrum przy Park Wilsona,61541481,https://www.otodom.pl/pl/oferta/4-lub-3pok-apartament-w-centrum-przy-park-wilsona-ID4adKx.html#068930ee7f,52.39409,16.8938
60 m²,listing_no_promo,4al3q,,,Obsługa zdalna Oferta pośrednika,559000,9317,3 pokoje,Mieszkanie na sprzedaż:,★Mieszkanie inwestycyjne★ 3 kawalerki ★ WYNAJĘTE ★,61569560,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-3-kawalerki-wynajete-ID4al3q.html#068930ee7f,52.39875128448074,16.90380109020995
"39,86 m²",listing_no_promo,4arim,,,Shark Nieruchomości,265000,6648,1 pokój,Mieszkanie na sprzedaż:,Pokaźna i cicha kawalerka z ładnym widokiem,61593550,https://www.otodom.pl/pl/oferta/pokazna-i-cicha-kawalerka-z-ladnym-widokiem-ID4arim.html#068930ee7f,52.3919003,16.89843864
56 m²,listing_no_promo,4argW,,,Oferta prywatna,425000,7589,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie na Poznańskim Łazarzu - bez pośredników,61593461,https://www.otodom.pl/pl/oferta/mieszkanie-na-poznanskim-lazarzu-bez-posrednikow-ID4argW.html#068930ee7f,52.40827,16.93352
"37,10 m²",listing_no_promo,42cIe,,,Oferta prywatna,499000,13450,1 pokój,Mieszkanie na sprzedaż:,Studio dla Konesera > estetyka + jakość + komfort,59630870,https://www.otodom.pl/pl/oferta/studio-dla-konesera-estetyka-jakosc-komfort-ID42cIe.html#068930ee7f,52.3958981,16.8979631
49 m²,listing_no_promo,4aqXa,,,Oferta prywatna,429000,8755,2 pokoje,Mieszkanie na sprzedaż:,"BEZPOŚREDNIO, Jarochowskiego, przy parku, Arena",61592236,https://www.otodom.pl/pl/oferta/bezposrednio-jarochowskiego-przy-parku-arena-ID4aqXa.html#068930ee7f,52.397437780364456,16.895098199505618
