area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"62,80 m²",promo_top_ads,458gA,,,Choiński Kroll Nieruchomości,400000,6369,3 pokoje,Mieszkanie na sprzedaż:,0% Trzypokojwe mieszkanie na Wildzie,60328764,https://www.otodom.pl/oferta/0-trzypokojwe-mieszkanie-na-wildzie-ID458gA.html#8e50b463b7
"29,50 m²",promo_top_ads,47APy,,,Oferta prywatna,236000,8000,1 pokój,Mieszkanie na sprzedaż:,"Przytulna kawalerka, świetna lokalizacja!",60915220,https://www.otodom.pl/oferta/przytulna-kawalerka-swietna-lokalizacja-ID47APy.html#8e50b463b7
"63,55 m²",promo_top_ads,47zbj,,,Dobre Blachy 24 sp. z o.o.,565000,8891,3 pokoje,Mieszkanie na sprzedaż:,"Poznań, Wilda, 3 pokoje, 64 m2, nowe budownictwo !",60908881,https://www.otodom.pl/oferta/poznan-wilda-3-pokoje-64-m2-nowe-budownictwo-ID47zbj.html#8e50b463b7
42 m²,listing_no_promo,45u0q,,,Biuro Nieruchomości CASTLE,320000,7619,2 pokoje,Mieszkanie na sprzedaż:,Zamieszkaj blisko centrum!,60412330,https://www.otodom.pl/oferta/zamieszkaj-blisko-centrum-ID45u0q.html#8e50b463b7
"72,30 m²",listing_no_promo,45tfO,,,Inwestycje Hryniewicz.pl Sp. z o.o.,669000,9253,7 pokoi,Mieszkanie na sprzedaż:,"Mieszkanie inwestycyjne ul. Górna Wilda Roi 10,1%",60409440,https://www.otodom.pl/oferta/mieszkanie-inwestycyjne-ul-gorna-wilda-roi-10-1-ID45tfO.html#8e50b463b7
"28,10 m²",listing_no_promo,45nfx,,,HOL-BOR BIURO OBROTU NIERUCHOMOŚCIAMI,189000,6726,1 pokój,Mieszkanie na sprzedaż:,Dochodowa kawalerka w atrakcyjnej lokalizacji,60386359,https://www.otodom.pl/oferta/dochodowa-kawalerka-w-atrakcyjnej-lokalizacji-ID45nfx.html#8e50b463b7
"72,40 m²",listing_no_promo,45ivP,,,Poznańskie Biuro Nieruchomości AURA,385000,5318,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 72,40 m², Poznań",60368211,https://www.otodom.pl/oferta/mieszkanie-72-40-m-poznan-ID45ivP.html#8e50b463b7
"39,50 m²",listing_no_promo,43mfT,,,Zarządzanie i Obrót Nieruchomościami Grażyna Czachor,400000,10127,2 pokoje,Mieszkanie na sprzedaż:,Piękne dwupokojowe mieszkanie Wilda,59905881,https://www.otodom.pl/oferta/piekne-dwupokojowe-mieszkanie-wilda-ID43mfT.html#8e50b463b7
"39,50 m²",listing_no_promo,44Aqy,,,Zarządzanie i Obrót Nieruchomościami Grażyna Czachor,400000,10127,2 pokoje,Mieszkanie na sprzedaż:,Nowoczesne nowe mieszkanie w centrum Poznania,60198686,https://www.otodom.pl/oferta/nowoczesne-nowe-mieszkanie-w-centrum-poznania-ID44Aqy.html#8e50b463b7
133 m²,listing_no_promo,45dIL,,,RE/MAX Polska - Międzynarodowa Sieć Biur Nieruchomości,699000,5256,5 pokoi,Mieszkanie na sprzedaż:,Inwestycja - Mieszkanie 133 M2 Kamienica Centrum,60349731,https://www.otodom.pl/oferta/inwestycja-mieszkanie-133-m2-kamienica-centrum-ID45dIL.html#8e50b463b7
72 m²,listing_no_promo,45ddQ,,,SzuBed Nieruchomości Bartosz Szuber-Bednarz,529000,7347,5 pokoi,Mieszkanie na sprzedaż:,Gotowiec inwestycyjny - 5 pokoi w Centrum,60347814,https://www.otodom.pl/oferta/gotowiec-inwestycyjny-5-pokoi-w-centrum-ID45ddQ.html#8e50b463b7
"29,45 m²",listing_no_promo,3Usfi,,,Virke Sp. z o. o.,,,1 pokój,Mieszkanie na sprzedaż:,Komfortowe mieszkanie na zamkniętym osiedlu - B5,57783956,https://www.otodom.pl/oferta/komfortowe-mieszkanie-na-zamknietym-osiedlu-b5-ID3Usfi.html#8e50b463b7
"146,93 m²",listing_no_promo,451fS,,,OKRE Development Sp. z o.o.,,,5 pokoi,Mieszkanie na sprzedaż:,Mieszkanie w Inwestycji Rynek Wildecki 3,60301812,https://www.otodom.pl/oferta/mieszkanie-w-inwestycji-rynek-wildecki-3-ID451fS.html#8e50b463b7
"44,34 m²",listing_no_promo,451et,,,OKRE Development Sp. z o.o.,,,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie w Inwestycji Rynek Wildecki 3,60301725,https://www.otodom.pl/oferta/mieszkanie-w-inwestycji-rynek-wildecki-3-ID451et.html#8e50b463b7
47 m²,listing_no_promo,451GO,,,Estate Center sp.zo.o.,315000,6702,2 pokoje,Mieszkanie na sprzedaż:,2 pokojowe mieszkanie w kamienicy na Wildzie,60303482,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-w-kamienicy-na-wildzie-ID451GO.html#8e50b463b7
"79,85 m²",listing_no_promo,3EH4Y,,,DUDA Development,67587665,8464,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie 2/M9, Wilda, 79.85m2",54027728,https://www.otodom.pl/oferta/mieszkanie-2-m9-wilda-79-85m2-ID3EH4Y.html#8e50b463b7
"79,53 m²",listing_no_promo,3ELzV,,,DUDA Development,68962276,8671,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie 3/M16, Wilda, 79.53m2",54045024,https://www.otodom.pl/oferta/mieszkanie-3-m16-wilda-79-53m2-ID3ELzV.html#8e50b463b7
"79,61 m²",listing_no_promo,3EM1C,,,DUDA Development,70736163,8885,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie 4/M23, Wilda, 79,61m2",54046740,https://www.otodom.pl/oferta/mieszkanie-4-m23-wilda-79-61m2-ID3EM1C.html#8e50b463b7
"79,50 m²",listing_no_promo,3EM76,,,DUDA Development,72340586,9099,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie 5/M30, Wilda, 78.96m2",54047080,https://www.otodom.pl/oferta/mieszkanie-5-m30-wilda-78-96m2-ID3EM76.html#8e50b463b7
"44,34 m²",listing_no_promo,451eW,,,OKRE Development Sp. z o.o.,,,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie w Inwestycji Rynek Wildecki 3,60301753,https://www.otodom.pl/oferta/mieszkanie-w-inwestycji-rynek-wildecki-3-ID451eW.html#8e50b463b7
"98,90 m²",listing_no_promo,44YkA,,,Pepeta Nieruchomości - Danuta Pepeta,649000,6562,3 pokoje,Mieszkanie na sprzedaż:,Urokliwe trzypokojowe w kamienicy 10 min od browar,60290572,https://www.otodom.pl/oferta/urokliwe-trzypokojowe-w-kamienicy-10-min-od-browar-ID44YkA.html#8e50b463b7
"76,65 m²",listing_no_promo,3jDeg,,,OKRE Development Sp. z o.o.,559515,7300,4 pokoje,Mieszkanie na sprzedaż:,"B.3.M.6 - 4 pokoje, 3 piętro - Saperska 30",49008040,https://www.otodom.pl/oferta/b-3-m-6-4-pokoje-3-pietro-saperska-30-ID3jDeg.html#8e50b463b7
"67,80 m²",listing_no_promo,3jGDc,,,OKRE Development Sp. z o.o.,501687,7400,3 pokoje,Mieszkanie na sprzedaż:,"A.0.M.1 - 3 pokoje, parter - Saperska 30",49021118,https://www.otodom.pl/oferta/a-0-m-1-3-pokoje-parter-saperska-30-ID3jGDc.html#8e50b463b7
50 m²,listing_no_promo,44RQu,,,Metrohouse S.A.,245000,4900,2 pokoje,Mieszkanie na sprzedaż:,2 Pokojowe Mieszkanie-Świerczewo,60265642,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-swierczewo-ID44RQu.html#8e50b463b7
"127,50 m²",listing_no_promo,44R7n,,,Poznańscy Doradcy Nieruchomości,899000,7051,9 pokoi,Mieszkanie na sprzedaż:,Mieszkanie inwestycyjne | 9 pokoi | Wynajęte,60262845,https://www.otodom.pl/oferta/mieszkanie-inwestycyjne-9-pokoi-wynajete-ID44R7n.html#8e50b463b7
115 m²,listing_no_promo,44KgL,,,Imperial House,659000,5730,4 pokoje,Mieszkanie na sprzedaż:,"Gustowne, rzadkie, przestronne, stylowe",60236519,https://www.otodom.pl/oferta/gustowne-rzadkie-przestronne-stylowe-ID44KgL.html#8e50b463b7
57 m²,listing_no_promo,44Dpb,,,Biuro Nieruchomości CASTLE,560000,9825,2 pokoje,Mieszkanie na sprzedaż:,Piękne mieszkanie na Wildzie! 2 pokoje! Garaż!!!,60210133,https://www.otodom.pl/oferta/piekne-mieszkanie-na-wildzie-2-pokoje-garaz-ID44Dpb.html#8e50b463b7
"52,50 m²",listing_no_promo,44l6B,,,Inwestycje Hryniewicz.pl Sp. z o.o.,432000,8229,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 2-pokojowe w odnowionej kamienicy,60139789,https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-w-odnowionej-kamienicy-ID44l6B.html#8e50b463b7
57 m²,listing_no_promo,44d26,,,JMK Kosmaczewscy Nieruchomości,379000,6649,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie przy Parku, Centrum Poznanie!!!",60108758,https://www.otodom.pl/oferta/mieszkanie-przy-parku-centrum-poznanie-ID44d26.html#8e50b463b7
58 m²,listing_no_promo,44cGK,,,Garbacik Nieruchomości,389000,6707,2 pokoje,Mieszkanie na sprzedaż:,"ŚWIERCZEWO 2-pok. 58m2, taras 12m2, piwnica 5.9m2",60107434,https://www.otodom.pl/oferta/swierczewo-2-pok-58m2-taras-12m2-piwnica-5-9m2-ID44cGK.html#8e50b463b7
"33,19 m²",listing_no_promo,44bCJ,,,Dawa Anna Przybył,238000,7171,2 pokoje,Mieszkanie na sprzedaż:,"1 piętro,dwa pokoje,Dębiec",60103341,https://www.otodom.pl/oferta/1-pietro-dwa-pokoje-debiec-ID44bCJ.html#8e50b463b7
"57,40 m²",listing_no_promo,44avf,,,Corner Nieruchomości,590000,10279,2 pokoje,Mieszkanie na sprzedaż:,Luksusowe 2 pokoje Mieszkanie Na sprzedaż,60099095,https://www.otodom.pl/oferta/luksusowe-2-pokoje-mieszkanie-na-sprzedaz-ID44avf.html#8e50b463b7
"57,40 m²",listing_no_promo,447me,,,Paczesny Nieruchomości,570000,9930,2 pokoje,Mieszkanie na sprzedaż:,Apartament/ wysoki standard/nowe budownictwo/garaż,60086942,https://www.otodom.pl/oferta/apartament-wysoki-standard-nowe-budownictwo-garaz-ID447me.html#8e50b463b7
"68,50 m²",listing_no_promo,43Nmn,,,Platan Nieruchomości Sp. z o.o.,469000,6847,3 pokoje,Mieszkanie na sprzedaż:,Komfortowe 3 pokojowe mieszkanie! Wilda !,60010071,https://www.otodom.pl/oferta/komfortowe-3-pokojowe-mieszkanie-wilda-ID43Nmn.html#8e50b463b7
66 m²,listing_no_promo,43Rej,,,Perfect House,465000,7045,4 pokoje,Mieszkanie na sprzedaż:,Bezczynszowe mieszkania pod wynajem dla inwestora,60024947,https://www.otodom.pl/oferta/bezczynszowe-mieszkania-pod-wynajem-dla-inwestora-ID43Rej.html#8e50b463b7
31 m²,listing_no_promo,43M5J,,,ALTERNATYWA BIS BIURO OBROTU NIERUCHMOŚCIAMI TOMASZ MARSZAŁEK,265000,8548,1 pokój,Mieszkanie na sprzedaż:,Kawalerka na Widzie z windą,60005195,https://www.otodom.pl/oferta/kawalerka-na-widzie-z-winda-ID43M5J.html#8e50b463b7
45 m²,listing_no_promo,43wlX,,,Immo Invest,299000,6644,2 pokoje,Mieszkanie na sprzedaż:,Poznań- Chłapowskiego 45m2,59940853,https://www.otodom.pl/oferta/poznan-chlapowskiego-45m2-ID43wlX.html#8e50b463b7
"27,27 m²",listing_no_promo,42rhG,,,Browwar Nieruchomości,289000,10598,1 pokój,Mieszkanie na sprzedaż:,Stylowa kawalerka w odnawianej kamienicy!,59686884,https://www.otodom.pl/oferta/stylowa-kawalerka-w-odnawianej-kamienicy-ID42rhG.html#8e50b463b7
51 m²,listing_no_promo,43hXw,,,Home Emperor sp. z o.o.,420000,8235,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie w sercu Wildy,59889365,https://www.otodom.pl/oferta/mieszkanie-w-sercu-wildy-ID43hXw.html#8e50b463b7
82 m²,listing_no_promo,42V4B,,,Spechouse Sp. z o.o.,525000,6402,3 pokoje,Mieszkanie na sprzedaż:,Słoneczne 3 pokoje na sprzedaż - Wilda,59805237,https://www.otodom.pl/oferta/sloneczne-3-pokoje-na-sprzedaz-wilda-ID42V4B.html#8e50b463b7
103 m²,listing_no_promo,42Nc7,,,WIKING Nieruchomości,449000,4359,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie 103m2 Poznań Wilda, ul. 28Czerwca1956r.",59771107,https://www.otodom.pl/oferta/mieszkanie-103m2-poznan-wilda-ul-28czerwca1956r-ID42Nc7.html#8e50b463b7
90 m²,listing_no_promo,42Dws,,,Integra Nieruchomości,374000,4156,2 pokoje,Mieszkanie na sprzedaż:,Nowe mieszkanie na Wildzie (2) z panoramą miasta,59733866,https://www.otodom.pl/oferta/nowe-mieszkanie-na-wildzie-2-z-panorama-miasta-ID42Dws.html#8e50b463b7
"75,52 m²",listing_no_promo,3Mldm,,,Browwar Nieruchomości,299000,3959,1 pokój,Mieszkanie na sprzedaż:,Idealna Oferta Dla Inwestora,55850304,https://www.otodom.pl/oferta/idealna-oferta-dla-inwestora-ID3Mldm.html#8e50b463b7
23 m²,listing_no_promo,413Yu,,,Bom Nieruchomości,249000,10826,1 pokój,Mieszkanie na sprzedaż:,Kawalerka Mieszkanie Centrum Poznań Wilda,59358954,https://www.otodom.pl/oferta/kawalerka-mieszkanie-centrum-poznan-wilda-ID413Yu.html#8e50b463b7
"66,94 m²",listing_no_promo,40RCt,,,Bonus Nieruchomości,479000,7156,3 pokoje,Mieszkanie na sprzedaż:,"Piękne, przytulne mieszkanie - ok. 67m2",59311461,https://www.otodom.pl/oferta/piekne-przytulne-mieszkanie-ok-67m2-ID40RCt.html#8e50b463b7
"29,73 m²",listing_no_promo,3YCbi,,,Virke Sp. z o. o.,,,1 pokój,Mieszkanie na sprzedaż:,Komfortowe mieszkanie na zamkniętym osiedlu - A38,58775460,https://www.otodom.pl/oferta/komfortowe-mieszkanie-na-zamknietym-osiedlu-a38-ID3YCbi.html#8e50b463b7
"30,53 m²",listing_no_promo,3YCaU,,,Virke Sp. z o. o.,,,1 pokój,Mieszkanie na sprzedaż:,Komfortowe mieszkanie na zamkniętym osiedlu - A37,58775436,https://www.otodom.pl/oferta/komfortowe-mieszkanie-na-zamknietym-osiedlu-a37-ID3YCaU.html#8e50b463b7
