area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
"52,14 m²",promo_top_ads,46vIa,,,Oferta prywatna,405000.0,7768.0,3 pokoje,Mieszkanie na sprzedaż:,"Strzeszyn Grecki, Poznań ul. Witolda Pileckiego",60661058,https://www.otodom.pl/oferta/strzeszyn-grecki-poznan-ul-witolda-pileckiego-ID46vIa.html#2bd0e70758,52.40827,16.93352
"44,70 m²",promo_top_ads,46yIE,,,Obsługa zdalna Oferta prywatna,350000.0,7830.0,2 pokoje,Mieszkanie na sprzedaż:,"Jeżyce 44,7m2",60668776,https://www.otodom.pl/oferta/jezyce-44-7m2-ID46yIE.html#2bd0e70758,52.4155578,16.9101154
49 m²,promo_top_ads,46rT5,,,Oferta prywatna,318000.0,6490.0,2 pokoje,Mieszkanie na sprzedaż:,"Jeżyce, Podolany Nowy blok 2 pokoje z 50m2 ogrodem",60642515,https://www.otodom.pl/oferta/jezyce-podolany-nowy-blok-2-pokoje-z-50m2-ogrodem-ID46rT5.html#2bd0e70758,52.4440584,16.8934622
"47,82 m²",listing_no_promo,46Eoe,,,Express House,460000.0,9619.0,2 pokoje,Mieszkanie na sprzedaż:,Wyjątkowy apartament na Nowych Ogrodach,60690574,https://www.otodom.pl/oferta/wyjatkowy-apartament-na-nowych-ogrodach-ID46Eoe.html#2bd0e70758,52.41820324,16.86349869
"42,94 m²",listing_no_promo,458iC,,,Oferta prywatna,394800.0,9194.0,2 pokoje,Mieszkanie na sprzedaż:,Strzeszyn NOWE gotowe 2 POKOJE z dużym OGRODEM,60328890,https://www.otodom.pl/oferta/strzeszyn-nowe-gotowe-2-pokoje-z-duzym-ogrodem-ID458iC.html#2bd0e70758,52.444194,16.8669195
53 m²,listing_no_promo,46q5E,,,Obsługa zdalna Oferta prywatna,575000.0,10849.0,3 pokoje,Mieszkanie na sprzedaż:,Nowy apartament Bezpośrednio Os.Botaniczna,60635606,https://www.otodom.pl/oferta/nowy-apartament-bezposrednio-os-botaniczna-ID46q5E.html#2bd0e70758,52.4181027,16.8884125
85 m²,listing_no_promo,45UPv,,,Oferta prywatna,540000.0,6353.0,3 pokoje,Mieszkanie na sprzedaż:,Mieszkania 85m2. Poznań-Smochowice.Bez Pośredników,60515442,https://www.otodom.pl/oferta/mieszkania-85m2-poznan-smochowice-bez-posrednikow-ID45UPv.html#2bd0e70758,52.4361865,16.8335349
54 m²,listing_no_promo,45dWJ,,,Oferta prywatna,555000.0,10278.0,2 pokoje,Mieszkanie na sprzedaż:,Perła Jeżyc na Jackowskiego | przy Uniw. Medycznym,60350535,https://www.otodom.pl/oferta/perla-jezyc-na-jackowskiego-przy-uniw-medycznym-ID45dWJ.html#2bd0e70758,52.410273848014434,16.89543298570558
"32,40 m²",listing_no_promo,46vc6,,,Oferta prywatna,320000.0,9877.0,1 pokój,Mieszkanie na sprzedaż:,"Kawalerka, Centrum, Apartamentowiec, bezpośrednio",60659070,https://www.otodom.pl/oferta/kawalerka-centrum-apartamentowiec-bezposrednio-ID46vc6.html#2bd0e70758,52.4085739,16.9071966
59 m²,listing_no_promo,46DLr,,,ALTERNATYWA BIS BIURO OBROTU NIERUCHMOŚCIAMI TOMASZ MARSZAŁEK,448000.0,7593.0,3 pokoje,Mieszkanie na sprzedaż:,3 pokoje w nowszym budownictwie,60688169,https://www.otodom.pl/oferta/3-pokoje-w-nowszym-budownictwie-ID46DLr.html#2bd0e70758,52.454204,16.8840962
