area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
70 m²,promo_top_ads,46BjJ,,,Oferta prywatna,750000.0,10714.0,3 pokoje,Mieszkanie na sprzedaż:,Apartament Poznań Sołacz,60678763,https://www.otodom.pl/oferta/apartament-poznan-solacz-ID46BjJ.html#d7a0272f7f,52.42425,16.90384
"76,20 m²",promo_top_ads,46loU,,,Immo House,485000.0,6365.0,3 pokoje,Mieszkanie na sprzedaż:,"3 pokoje, 76 mkw, Strzeszyn Grecki, Poznań",60617580,https://www.otodom.pl/oferta/3-pokoje-76-mkw-strzeszyn-grecki-poznan-ID46loU.html#d7a0272f7f,52.44649,16.87784
78 m²,promo_top_ads,45PRb,,,Imperial House,535000.0,6859.0,4 pokoje,Mieszkanie na sprzedaż:,"Poznań/Podolany, przestronne mieszkanie 4 pokojowe",60496325,https://www.otodom.pl/oferta/poznan-podolany-przestronne-mieszkanie-4-pokojowe-ID45PRb.html#d7a0272f7f,52.454204,16.8840962
114 m²,listing_no_promo,43IBV,,,Van Hausen Kołodziejczyk Wierzejewski Sp. J.,620000.0,5439.0,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 114 m², Poznań",59991816,https://www.otodom.pl/oferta/mieszkanie-114-m-poznan-ID43IBV.html#d7a0272f7f,52.4123082,16.8907964
"62,75 m²",listing_no_promo,3WD0Q,,,Ślemp Nieruchomości Radosław Ślemp,300000.0,4781.0,3 pokoje,Mieszkanie na sprzedaż:,"Trzypokojowe 63 m2, balkon,winda- zakup za gotówkę",58063672,https://www.otodom.pl/oferta/trzypokojowe-63-m2-balkon-winda-zakup-za-gotowke-ID3WD0Q.html#d7a0272f7f,52.4321162,16.9143275
"31,80 m²",listing_no_promo,43w9u,,,Corner Nieruchomości,330000.0,10377.0,2 pokoje,Mieszkanie na sprzedaż:,"Kawalerka 31,80 m² na Jeżycach na sprzedaż",59940080,https://www.otodom.pl/oferta/kawalerka-31-80-m-na-jezycach-na-sprzedaz-ID43w9u.html#d7a0272f7f,52.43655,16.84479
"61,12 m²",listing_no_promo,40b5C,,,Spechouse Sp. z o.o.,488960.0,8000.0,3 pokoje,Mieszkanie na sprzedaż:,Atrakcyjne Mieszkanie W Nowej Inwestycji,59147976,https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-w-nowej-inwestycji-ID40b5C.html#d7a0272f7f,52.4323043,16.9126032
"28,16 m²",listing_no_promo,40HLg,,,Spechouse Sp. z o.o.,270336.0,9600.0,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie Na Sprzedaż,59273566,https://www.otodom.pl/oferta/mieszkanie-na-sprzedaz-ID40HLg.html#d7a0272f7f,52.4323043,16.9126032
"40,31 m²",listing_no_promo,43fTN,,,Constru,309271.0,7672.0,2 pokoje,Mieszkanie na sprzedaż:,"Jeżyce, blisko ulicy Kościelnej i Parku Sołackiego",59881447,https://www.otodom.pl/oferta/jezyce-blisko-ulicy-koscielnej-i-parku-solackiego-ID43fTN.html#d7a0272f7f,52.43655,16.84479
"71,53 m²",listing_no_promo,4331m,,,Keller Williams Evolution,439000.0,6137.0,3 pokoje,Mieszkanie na sprzedaż:,Apartamenty na Jeżycach w cichej okolicy,59831944,https://www.otodom.pl/oferta/apartamenty-na-jezycach-w-cichej-okolicy-ID4331m.html#d7a0272f7f,52.43165,16.85306
