area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
"58,50 m²",promo_top_ads,46yjQ,,,Oferta prywatna,379000.0,6479.0,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie rozkładowe, Jeżyce ul. Jackowskiego",60667238,https://www.otodom.pl/oferta/mieszkanie-rozkladowe-jezyce-ul-jackowskiego-ID46yjQ.html#ea1fc958cd,52.4101495,16.8965917
50 m²,promo_top_ads,42x5m,,,Oferta prywatna,439000.0,8780.0,2 pokoje,Mieszkanie na sprzedaż:,BEZPOŚR. Piękne mieszkanie po remoncie OD ZARAZ,59709184,https://www.otodom.pl/oferta/bezposr-piekne-mieszkanie-po-remoncie-od-zaraz-ID42x5m.html#ea1fc958cd,52.4339289,16.9162927
"30,84 m²",promo_top_ads,46sKh,,,Choiński Kroll Nieruchomości,245000.0,7944.0,1 pokój,Mieszkanie na sprzedaż:,Kawalerka z balkonem Jeżyce Rezerwacja,60645813,https://www.otodom.pl/oferta/kawalerka-z-balkonem-jezyce-rezerwacja-ID46sKh.html#ea1fc958cd,52.4126886,16.9070257
37 m²,listing_no_promo,45veS,,,Nieruchomości Futuro Gajda&Raś,286000.0,7730.0,2 pokoje,Mieszkanie na sprzedaż:,Nowość! Super Cena! 2 Pokoje Z Balkonem Bonin!,60420914,https://www.otodom.pl/oferta/nowosc-super-cena-2-pokoje-z-balkonem-bonin-ID45veS.html#ea1fc958cd,52.4311333,16.9045445
"48,92 m²",listing_no_promo,45wVq,,,Perfect House,318000.0,6500.0,2 pokoje,Mieszkanie na sprzedaż:,49 m2 z ogródkiem na Podolanach,60419770,https://www.otodom.pl/oferta/49-m2-z-ogrodkiem-na-podolanach-ID45wVq.html#ea1fc958cd,52.43655,16.84479
"96,16 m²",listing_no_promo,45uSn,,,Expander Advisors,692352.0,7200.0,4 pokoje,Mieszkanie na sprzedaż:,Familijny apartament Winogrady,60415675,https://www.otodom.pl/oferta/familijny-apartament-winogrady-ID45uSn.html#ea1fc958cd,52.4334,16.91165
"40,59 m²",listing_no_promo,44uL1,,,Express House,34302609.0,8451.0,2 pokoje,Mieszkanie na sprzedaż:,* Park Sołacki * bez prowizji * 0% Pcc *,60176891,https://www.otodom.pl/oferta/park-solacki-bez-prowizji-0-pcc-ID44uL1.html#ea1fc958cd,52.4188529,16.8976818
55 m²,listing_no_promo,45txR,,,Partner Nieruchomości Agnieszka Kuzera,549000.0,9982.0,2 pokoje,Mieszkanie na sprzedaż:,"W pięknej kamienicy, śliczne 2 pokoje na Jeżycach",60410559,https://www.otodom.pl/oferta/w-pieknej-kamienicy-sliczne-2-pokoje-na-jezycach-ID45txR.html#ea1fc958cd,52.43655,16.84479
"69,12 m²",listing_no_promo,44ZnR,,,Nieruchomości Futuro Gajda&Raś,479000.0,6930.0,3 pokoje,Mieszkanie na sprzedaż:,"Super Oferta!3 Pok.69 M2 Gen.Maczka!Wolne, Klucze!",60294619,https://www.otodom.pl/oferta/super-oferta-3-pok-69-m2-gen-maczka-wolne-klucze-ID44ZnR.html#ea1fc958cd,52.4242576,16.9153637
"55,72 m²",listing_no_promo,45sNi,,,Perfect House,585000.0,10499.0,3 pokoje,Mieszkanie na sprzedaż:,Kameralny apartament z ogródkiem na Podolanach,60407672,https://www.otodom.pl/oferta/kameralny-apartament-z-ogrodkiem-na-podolanach-ID45sNi.html#ea1fc958cd,52.45718,16.88339
42 m²,listing_no_promo,45ssZ,,,Corner Nieruchomości,299000.0,7119.0,2 pokoje,Mieszkanie na sprzedaż:,"Dwa pokoje, niski blok, Grochowska 87",60406413,https://www.otodom.pl/oferta/dwa-pokoje-niski-blok-grochowska-87-ID45ssZ.html#ea1fc958cd,52.41607,16.87603
29 m²,listing_no_promo,45rqg,,,Noble Estate,275000.0,9483.0,1 pokój,Mieszkanie na sprzedaż:,"Mieszkanie, 29 m², Poznań",60402400,https://www.otodom.pl/oferta/mieszkanie-29-m-poznan-ID45rqg.html#ea1fc958cd,52.4242576,16.9153637
"79,37 m²",listing_no_promo,45qXe,,,MOJE nowe M Nieruchomości,499000.0,6287.0,3 pokoje,Mieszkanie na sprzedaż:,Klimatyczne w sercu Jeżyc z parkingiem na podwórku,60400600,https://www.otodom.pl/oferta/klimatyczne-w-sercu-jezyc-z-parkingiem-na-podworku-ID45qXe.html#ea1fc958cd,52.4139057,16.9099331
