area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"26,20 m²",promo_top_ads,45dP4,,,Oferta prywatna,248900,9500,1 pokój,Mieszkanie na sprzedaż:,Kawalerka w pięknej kamienicy obok Parku Willsona,60350122,https://www.otodom.pl/oferta/kawalerka-w-pieknej-kamienicy-obok-parku-willsona-ID45dP4.html#6a0d9fc25c
"143,48 m²",promo_top_ads,44oOH,,,Obsługa zdalna Advestor Premium House,1990000,13870,3 pokoje,Mieszkanie na sprzedaż:,Wygodny apartament w City Parku z miejscem w hali!,60154055,https://www.otodom.pl/oferta/wygodny-apartament-w-city-parku-z-miejscem-w-hali-ID44oOH.html#6a0d9fc25c
"29,09 m²",promo_top_ads,46ttF,,,Inwestycje z widokiem,145000,4985,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie przy Parku Wilsona - Dla Inwestora,60648627,https://www.otodom.pl/oferta/mieszkanie-przy-parku-wilsona-dla-inwestora-ID46ttF.html#6a0d9fc25c
91 m²,listing_no_promo,45Pp8,,,PTAK nieruchomości,1092000,12000,3 pokoje,Mieszkanie na sprzedaż:,Luksusowe w kamienicy/deweloperskie k/Areny,60494586,https://www.otodom.pl/oferta/luksusowe-w-kamienicy-deweloperskie-k-areny-ID45Pp8.html#6a0d9fc25c
"36,37 m²",listing_no_promo,45ORl,,,PTAK nieruchomości,436440,12000,1 pokój,Mieszkanie na sprzedaż:,Dla Konesera! piękne/w kamienicy/Centrum,60492491,https://www.otodom.pl/oferta/dla-konesera-piekne-w-kamienicy-centrum-ID45ORl.html#6a0d9fc25c
57 m²,listing_no_promo,45OOH,,,PTAK nieruchomości,684000,12000,2 pokoje,Mieszkanie na sprzedaż:,Wyjątkowe Mieszkania/Kamienica 27-91m2!,60492327,https://www.otodom.pl/oferta/wyjatkowe-mieszkania-kamienica-27-91m2-ID45OOH.html#6a0d9fc25c
"30,53 m²",listing_no_promo,45NXr,,,Biuro Nieruchomości,199000,6518,1 pokój,Mieszkanie na sprzedaż:,Do remontu z możliwością podziału,60489025,https://www.otodom.pl/oferta/do-remontu-z-mozliwoscia-podzialu-ID45NXr.html#6a0d9fc25c
"73,67 m²",listing_no_promo,45p7U,,,Spechouse Sp. z o.o.,429000,5823,5 pokoi,Mieszkanie na sprzedaż:,Do remontu przy Parku Wilsona,60393574,https://www.otodom.pl/oferta/do-remontu-przy-parku-wilsona-ID45p7U.html#6a0d9fc25c
"87,52 m²",listing_no_promo,45cKe,,,Spechouse Sp. z o.o.,679000,7758,3 pokoje,Mieszkanie na sprzedaż:,Piękne trzy kawalerki przy Targach,60345978,https://www.otodom.pl/oferta/piekne-trzy-kawalerki-przy-targach-ID45cKe.html#6a0d9fc25c
45 m²,listing_no_promo,45hIv,,,Spechouse Sp. z o.o.,289000,6422,2 pokoje,Mieszkanie na sprzedaż:,Cudne mieszkanko w wieżyczce w nowej kamienicy,60365092,https://www.otodom.pl/oferta/cudne-mieszkanko-w-wiezyczce-w-nowej-kamienicy-ID45hIv.html#6a0d9fc25c
"26,04 m²",listing_no_promo,45y8W,,,Ślemp Nieruchomości Radosław Ślemp,239568,9200,1 pokój,Mieszkanie na sprzedaż:,Kawalerka w pięknej kamienicy obok Parku Willsona,60428233,https://www.otodom.pl/oferta/kawalerka-w-pieknej-kamienicy-obok-parku-willsona-ID45y8W.html#6a0d9fc25c
"106,57 m²",listing_no_promo,45L6N,,,Van Hausen Kołodziejczyk Wierzejewski Sp. J.,895188,8400,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 106,57 m², Poznań",60478073,https://www.otodom.pl/oferta/mieszkanie-106-57-m-poznan-ID45L6N.html#6a0d9fc25c
"125,29 m²",listing_no_promo,45L6M,,,Van Hausen Kołodziejczyk Wierzejewski Sp. J.,94705706,7559,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 125,29 m², Poznań",60478072,https://www.otodom.pl/oferta/mieszkanie-125-29-m-poznan-ID45L6M.html#6a0d9fc25c
"138,99 m²",listing_no_promo,45L6L,,,Van Hausen Kołodziejczyk Wierzejewski Sp. J.,1125819,8100,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 138,99 m², Poznań",60478071,https://www.otodom.pl/oferta/mieszkanie-138-99-m-poznan-ID45L6L.html#6a0d9fc25c
"108,49 m²",listing_no_promo,45L6K,,,Van Hausen Kołodziejczyk Wierzejewski Sp. J.,857071,7900,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 108,49 m², Poznań",60478070,https://www.otodom.pl/oferta/mieszkanie-108-49-m-poznan-ID45L6K.html#6a0d9fc25c
"27,10 m²",listing_no_promo,45K4r,,,Immo House,392950,14500,1 pokój,Mieszkanie na sprzedaż:,"Kawalerka, Zabytkowa, Zrewitalizowana Kamienica!",60474083,https://www.otodom.pl/oferta/kawalerka-zabytkowa-zrewitalizowana-kamienica-ID45K4r.html#6a0d9fc25c
