area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
"26,20 m²",promo_top_ads,45dP4,,,Oferta prywatna,248900,9500,1 pokój,Mieszkanie na sprzedaż:,Kawalerka w pięknej kamienicy obok Parku Willsona,60350122,https://www.otodom.pl/oferta/kawalerka-w-pieknej-kamienicy-obok-parku-willsona-ID45dP4.html#068930ee7f,52.400427064403104,16.899464825439455
"29,09 m²",promo_top_ads,46tth,,,Inwestycje z widokiem,149900,5153,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie przy Parku Wilsona - Dla Inwestora,60648603,https://www.otodom.pl/oferta/mieszkanie-przy-parku-wilsona-dla-inwestora-ID46tth.html#068930ee7f,52.398698864363055,16.903928021240237
81 m²,promo_top_ads,46bcA,,,"""HanRad Nieruchomości"" Hanna Radziwiłko",599000,7395,3 pokoje,Mieszkanie na sprzedaż:,"Niegolewskich, 81 m2, po remoncie, obok Areny",60578376,https://www.otodom.pl/oferta/niegolewskich-81-m2-po-remoncie-obok-areny-ID46bcA.html#068930ee7f,52.3958981,16.8979631
55 m²,listing_no_promo,46Eid,,,Imperial House,399000,7255,3 pokoje,Mieszkanie na sprzedaż:,"Apartament w kamienicy, w stanie do zamieszkania.",60690201,https://www.otodom.pl/oferta/apartament-w-kamienicy-w-stanie-do-zamieszkania-ID46Eid.html#068930ee7f,52.39420789570861,16.898597604721058
"28,50 m²",listing_no_promo,45dGn,,,Ślemp Nieruchomości Radosław Ślemp,259350,9100,1 pokój,Mieszkanie na sprzedaż:,Kawalerka.Cieplik Miejski.Winda !!!,60349583,https://www.otodom.pl/oferta/kawalerka-cieplik-miejski-winda-ID45dGn.html#068930ee7f,52.3999742,16.8989233
62 m²,listing_no_promo,46q3H,,,Obsługa zdalna Oferta prywatna,499000,8048,3 pokoje,Mieszkanie na sprzedaż:,Sprzedam bezpośrednio mieszkanie 3-pok po remoncie,60635485,https://www.otodom.pl/oferta/sprzedam-bezposrednio-mieszkanie-3-pok-po-remoncie-ID46q3H.html#068930ee7f,52.39541734091533,16.900472548901373
56 m²,listing_no_promo,46q3a,,,Obsługa zdalna Oferta prywatna,470000,8393,2 pokoje,Mieszkanie na sprzedaż:,Sprzedam bezpośrednio mieszkanie 2-pok po remoncie,60635452,https://www.otodom.pl/oferta/sprzedam-bezposrednio-mieszkanie-2-pok-po-remoncie-ID46q3a.html#068930ee7f,52.395469715502614,16.90051546424561
60 m²,listing_no_promo,46DFL,,,AZielińska Nieruchomości,420000,7000,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 60 m², Poznań",60687817,https://www.otodom.pl/oferta/mieszkanie-60-m-poznan-ID46DFL.html#068930ee7f,52.3967152,16.9036663
"39,50 m²",listing_no_promo,46DoM,,,Spechouse Sp. z o.o.,459000,11620,2 pokoje,Mieszkanie na sprzedaż:,"Poznań piękne mieszkanie przy City Park, p.Wilsona",60686764,https://www.otodom.pl/oferta/poznan-piekne-mieszkanie-przy-city-park-p-wilsona-ID46DoM.html#068930ee7f,52.4018357,16.8996149
41 m²,listing_no_promo,42cIe,,,Oferta prywatna,399000,9732,1 pokój,Mieszkanie na sprzedaż:,Studio dla Konesera > estetyka + jakość + komfort,59630870,https://www.otodom.pl/oferta/studio-dla-konesera-estetyka-jakosc-komfort-ID42cIe.html#068930ee7f,52.3958981,16.8979631
"26,20 m²",listing_no_promo,460Yj,,,Ślemp Nieruchomości Radosław Ślemp,248900,9500,1 pokój,Mieszkanie na sprzedaż:,Kawalerka przy Parku Willsona - możliwa antresola,60539051,https://www.otodom.pl/oferta/kawalerka-przy-parku-willsona-mozliwa-antresola-ID460Yj.html#068930ee7f,52.3999742,16.8989233
"19,54 m²",listing_no_promo,46enR,,,Ślemp Nieruchomości Radosław Ślemp,154366,7900,2 pokoje,Mieszkanie na sprzedaż:,"Idealna inwestycja, prestiżowa kamienica",60590607,https://www.otodom.pl/oferta/idealna-inwestycja-prestizowa-kamienica-ID46enR.html#068930ee7f,52.40024562,16.89907551
"26,20 m²",listing_no_promo,45dP4,,,Oferta prywatna,248900,9500,1 pokój,Mieszkanie na sprzedaż:,Kawalerka w pięknej kamienicy obok Parku Willsona,60350122,https://www.otodom.pl/oferta/kawalerka-w-pieknej-kamienicy-obok-parku-willsona-ID45dP4.html#068930ee7f,52.400427064403104,16.899464825439455
"51,80 m²",listing_no_promo,46BGs,,,Obsługa zdalna Oferta prywatna,429000,8282,3 pokoje,Mieszkanie na sprzedaż:,Centrum Łazarz gotowe 3 pokoje pod klucz od zaraz,60680172,https://www.otodom.pl/oferta/centrum-lazarz-gotowe-3-pokoje-pod-klucz-od-zaraz-ID46BGs.html#068930ee7f,52.39496500011327,16.897118789440906
"59,20 m²",listing_no_promo,44vCx,,,Oferta prywatna,413808,6990,2 pokoje,Mieszkanie na sprzedaż:,sprzedam mieszkanie dwupojowe w kamienicy,60184053,https://www.otodom.pl/oferta/sprzedam-mieszkanie-dwupojowe-w-kamienicy-ID44vCx.html#068930ee7f,52.39435188019111,16.8985904253006
