area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
"30,24 m²",promo_top_ads,3A3bh,,,Oferta pośrednika,265900.0,8793.0,1 pokój,Mieszkanie na sprzedaż:,"Saperska30,oddanie budynku za 2 msc Wilda, Centrum",52921047,https://www.otodom.pl/oferta/saperska30-oddanie-budynku-za-2-msc-wilda-centrum-ID3A3bh.html#e71e331289,52.38098764727002,16.918462526983646
"45,50 m²",promo_top_ads,46rJV,,,Oferta prywatna,330000.0,7253.0,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 2-pokojowe w kamienicy,60641948,https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-w-kamienicy-ID46rJV.html#e71e331289,52.3675078,16.9080958
57 m²,promo_top_ads,46qZ4,,,Oferta prywatna,279000.0,4895.0,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 2 Pokoje Do remontu Centrum Wilda,60639042,https://www.otodom.pl/oferta/mieszkanie-2-pokoje-do-remontu-centrum-wilda-ID46qZ4.html#e71e331289,52.37772,16.91707
"48,50 m²",listing_no_promo,46ob6,,,Obsługa zdalna Oferta prywatna,329000.0,6784.0,2 pokoje,Mieszkanie na sprzedaż:,"REZERWACJA/ nowe budownictwo, winda, garaż, Wilda",60628256,https://www.otodom.pl/oferta/rezerwacja-nowe-budownictwo-winda-garaz-wilda-ID46ob6.html#e71e331289,52.390449548909466,16.918067869311532
"71,10 m²",listing_no_promo,45m80,,,Oferta prywatna,539000.0,7581.0,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie 3-pokojowe, 71m2, Poznań ul.Saperska",60382048,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-71m2-poznan-ul-saperska-ID45m80.html#e71e331289,52.3797245,16.918382
"45,70 m²",listing_no_promo,465Vf,,,Ślemp Nieruchomości Radosław Ślemp,350000.0,7659.0,2 pokoje,Mieszkanie na sprzedaż:,***Takie Oferty Nie Pojawiają Się Często***,60558143,https://www.otodom.pl/oferta/takie-oferty-nie-pojawiaja-sie-czesto-ID465Vf.html#e71e331289,52.3904823,16.9224689
36 m²,listing_no_promo,46E5L,,,Oferta prywatna,309900.0,8608.0,2 pokoje,Mieszkanie na sprzedaż:,"Piękne mieszkanie 36m2 Dębiec, laskowa 4",60689429,https://www.otodom.pl/oferta/piekne-mieszkanie-36m2-debiec-laskowa-4-ID46E5L.html#e71e331289,52.36596,16.9059
45 m²,listing_no_promo,46DUK,,,Platan Nieruchomości Sp. z o.o.,330000.0,7333.0,2 pokoje,Mieszkanie na sprzedaż:,M2 po generalnym remoncie pięknie urządzone!,60688746,https://www.otodom.pl/oferta/m2-po-generalnym-remoncie-pieknie-urzadzone-ID46DUK.html#e71e331289,52.37033285,16.90704918
19 m²,listing_no_promo,46DN9,,,Corner Nieruchomości,189000.0,9947.0,1 pokój,Mieszkanie na sprzedaż:,Kawalerka w rewitalizowanej kamienicy.,60688275,https://www.otodom.pl/oferta/kawalerka-w-rewitalizowanej-kamienicy-ID46DN9.html#e71e331289,52.3876114,16.9127167
38 m²,listing_no_promo,46DFG,,,Oferta prywatna,415000.0,10921.0,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie ul. Wierzbięcice z miejscem parkingowym,60687812,https://www.otodom.pl/oferta/mieszkanie-ul-wierzbiecice-z-miejscem-parkingowym-ID46DFG.html#e71e331289,52.39514431358405,16.921997645507826
