area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"29,35 m²",promo_top_ads,49hJ7,,,Obsługa zdalna Oferta prywatna,286775,9771,2 pokoje,Mieszkanie na sprzedaż:,Wykończone - 2 pokojowe! Brak podatku PCC 2%,61318441,https://www.otodom.pl/pl/oferta/wykonczone-2-pokojowe-brak-podatku-pcc-2-ID49hJ7.html#2bd0e70758
31 m²,promo_top_ads,49YpI,,,Oferta prywatna,299000,9645,2 pokoje,Mieszkanie na sprzedaż:,2 pokoje I Podolany I 31 m2 I pod klucz I balkon,61482530,https://www.otodom.pl/pl/oferta/2-pokoje-i-podolany-i-31-m2-i-pod-klucz-i-balkon-ID49YpI.html#2bd0e70758
"86,50 m²",promo_top_ads,49Y1F,,,Obsługa zdalna Oferta prywatna,689000,7965,5 pokoi,Mieszkanie na sprzedaż:,86m2- Jasielska -5pok- garaż - bez PCC! -pod klucz,61481039,https://www.otodom.pl/pl/oferta/86m2-jasielska-5pok-garaz-bez-pcc-pod-klucz-ID49Y1F.html#2bd0e70758
26 m²,listing_no_promo,4astR,,,Obsługa zdalna TU Inwestycje,275000,10577,1 pokój,Mieszkanie na sprzedaż:,PIĘKNA kawalerka po rem/ CO/ Winda/ JEŻYCE/ LUXUS!,61598107,https://www.otodom.pl/pl/oferta/piekna-kawalerka-po-rem-co-winda-jezyce-luxus-ID4astR.html#2bd0e70758
49 m²,listing_no_promo,4asty,,,Obsługa zdalna TU Inwestycje,485000,9898,3 pokoje,Mieszkanie na sprzedaż:,OKAZJA 3 pok+ Kuchn/BALKON/6 Okien/Po rem/CO/WINDA,61598088,https://www.otodom.pl/pl/oferta/okazja-3-pok-kuchn-balkon-6-okien-po-rem-co-winda-ID4asty.html#2bd0e70758
31 m²,listing_no_promo,4aiwT,,,Obsługa zdalna Oferta prywatna,308900,9965,2 pokoje,Mieszkanie na sprzedaż:,NOWE | do wprowadzenia | 2 pokoje - PODOLANY,61559793,https://www.otodom.pl/pl/oferta/nowe-do-wprowadzenia-2-pokoje-podolany-ID4aiwT.html#2bd0e70758
42 m²,listing_no_promo,4a5mi,,,Oferta prywatna,339000,8071,2 pokoje,Mieszkanie na sprzedaż:,Bez pośredników Ogrody - 2 pokoje kuchnia piwnica,61509226,https://www.otodom.pl/pl/oferta/bez-posrednikow-ogrody-2-pokoje-kuchnia-piwnica-ID4a5mi.html#2bd0e70758
"46,87 m²",listing_no_promo,4ais9,,,Oferta prywatna,436000,9302,2 pokoje,Mieszkanie na sprzedaż:,## Mieszkanie 2 pokojowe + duży ogródek,61559561,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-duzy-ogrodek-ID4ais9.html#2bd0e70758
"31,57 m²",listing_no_promo,4asim,,,INVENTUM NIERUCHOMOŚCI Kazaniecka & Bittner sp.j.,320000,10136,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 31,57 m², Poznań",61597394,https://www.otodom.pl/pl/oferta/mieszkanie-31-57-m-poznan-ID4asim.html#2bd0e70758
"71,76 m²",listing_no_promo,49ZoA,,,Nieruchomości Konwerski,558548,7784,3 pokoje,Mieszkanie na sprzedaż:,Trzy Pokoje Z Osobną Kuchnią ! Termin Realizacji K,61486304,https://www.otodom.pl/pl/oferta/trzy-pokoje-z-osobna-kuchnia-termin-realizacji-k-ID49ZoA.html#2bd0e70758
